task,source_a,source_b,duration_ms,readout_noise_sd,accuracy_mean,accuracy_sem
same_source_exemplar,white,,25.0,10.0,1.0,0.0
same_source_exemplar,light-pink,,25.0,10.0,1.0,0.0
same_source_exemplar,pink,,25.0,10.0,1.0,0.0
same_source_exemplar,brown,,25.0,10.0,1.0,0.0
same_source_exemplar_mean,all,,25.0,10.0,1.0,0.0
different_source,white,light-pink,25.0,10.0,0.8736979166666666,0.004160990846961003
different_source,white,pink,25.0,10.0,0.9986979166666665,0.0006799908435769496
different_source,pink,brown,25.0,10.0,0.9952256944444442,0.0013536708332077365
same_source_exemplar,white,,25.0,20.0,0.9986979166666666,0.0008524136337343511
same_source_exemplar,light-pink,,25.0,20.0,0.998046875,0.001953125
same_source_exemplar,pink,,25.0,20.0,1.0,0.0
same_source_exemplar,brown,,25.0,20.0,0.99609375,0.0021451939350206075
same_source_exemplar_mean,all,,25.0,20.0,0.9982096354166666,0.0007617331097580387
different_source,white,light-pink,25.0,20.0,0.8676215277777778,0.006263740070098276
different_source,white,pink,25.0,20.0,0.9960937499999999,0.0009345580241735339
different_source,pink,brown,25.0,20.0,0.9934895833333331,0.0017112727621686737
same_source_exemplar,white,,25.0,40.0,0.9947916666666666,0.002604166666666669
same_source_exemplar,light-pink,,25.0,40.0,0.978515625,0.017145666871081947
same_source_exemplar,pink,,25.0,40.0,0.9934895833333333,0.005802259657917493
same_source_exemplar,brown,,25.0,40.0,0.9583333333333333,0.01801532740000484
same_source_exemplar_mean,all,,25.0,40.0,0.9812825520833333,0.006647002125702765
different_source,white,light-pink,25.0,40.0,0.8250868055555555,0.007266209997055572
different_source,white,pink,25.0,40.0,0.9930555555555555,0.0018507006628091182
different_source,pink,brown,25.0,40.0,0.98828125,0.0025744037844379194
same_source_exemplar,white,,50.0,10.0,1.0,0.0
same_source_exemplar,light-pink,,50.0,10.0,1.0,0.0
same_source_exemplar,pink,,50.0,10.0,1.0,0.0
same_source_exemplar,brown,,50.0,10.0,0.994140625,0.003867303364265585
same_source_exemplar_mean,all,,50.0,10.0,0.99853515625,0.0010256447764376197
different_source,white,light-pink,50.0,10.0,0.9409722222222224,0.005221469125528173
different_source,white,pink,50.0,10.0,1.0,0.0
different_source,pink,brown,50.0,10.0,0.9986979166666665,0.0006799908435769496
same_source_exemplar,white,,50.0,20.0,0.9986979166666667,0.0013020833333333287
same_source_exemplar,light-pink,,50.0,20.0,0.9973958333333334,0.0017048272674686843
same_source_exemplar,pink,,50.0,20.0,0.9993489583333333,0.0006510416666666713
same_source_exemplar,brown,,50.0,20.0,0.97265625,0.009220263193001288
same_source_exemplar_mean,all,,50.0,20.0,0.9920247395833334,0.0030220096774384907
different_source,white,light-pink,50.0,20.0,0.9197048611111112,0.004643378089086937
different_source,white,pink,50.0,20.0,1.0,0.0
different_source,pink,brown,50.0,20.0,0.9982638888888888,0.0007402802651236527
same_source_exemplar,white,,50.0,40.0,0.9537760416666666,0.013475596461522566
same_source_exemplar,light-pink,,50.0,40.0,0.9498697916666667,0.019585428328764736
same_source_exemplar,pink,,50.0,40.0,0.9674479166666667,0.008566650996777872
